JD,Magnitude,Mag_err
2.460342414143518545e+06,1.209942980244800026e+01, 0.0134
2.460342373310185038e+06,1.225610709905014595e+01, 0.0134
2.460342417187499814e+06,1.200512430964034394e+01, 0.0134
2.460342341585648246e+06,1.192946845327075778e+01, 0.0134
2.460342364212962799e+06,1.222238317550836939e+01, 0.0134
2.460342332476851996e+06,1.190549120446140563e+01, 0.0134
2.460342392905092798e+06,1.239849575603510168e+01, 0.0134
2.460342408090277575e+06,1.226705869751933520e+01, 0.0134
2.460342367245370522e+06,1.225238167937674483e+01, 0.0134
2.460342353715277743e+06,1.209312839298811326e+01, 0.0134
2.460342430717592593e+06,1.193897004788726512e+01, 0.0134
2.460342427673611324e+06,1.186963235227664448e+01, 0.0134
2.460342344618055504e+06,1.195695080733678139e+01, 0.0134
2.460342395949074067e+06,1.239864954454674972e+01, 0.0134
2.460342335520833265e+06,1.185011691525076216e+01, 0.0134
2.460342347650462762e+06,1.204645154670020801e+01, 0.0134
2.460342361180555541e+06,1.217356213794578146e+01, 0.0134
2.460342350682870485e+06,1.205290068565647488e+01, 0.0134
2.460342358136574272e+06,1.220199330024071571e+01, 0.0134
2.460342411122685298e+06,1.218749219148389074e+01, 0.0134
2.460342405057870317e+06,1.235020797780458679e+01, 0.0134
2.460342370277777780e+06,1.229178434984982715e+01, 0.0134
2.460342376354166772e+06,1.228446312435465160e+01, 0.0134
2.460342326412037015e+06,1.213715741387648173e+01, 0.0134
2.460342382418981288e+06,1.236737641191515102e+01, 0.0134
2.460342424641203601e+06,1.185763131326992514e+01, 0.0134
2.460342379386574030e+06,1.233776715637670129e+01, 0.0134
2.460342421608796343e+06,1.186812303083903686e+01, 0.0134
2.460342433761573862e+06,1.198303545573646112e+01, 0.0134
2.460342385462963022e+06,1.237686569480483634e+01, 0.0134
2.460342329444444273e+06,1.198638639113178250e+01, 0.0134
2.460342338541666511e+06,1.192360674186766190e+01, 0.0134
2.460342389884259086e+06,1.238905393858079051e+01, 0.0134
2.460342402013889048e+06,1.238473741236401793e+01, 0.0134
2.460342398981481325e+06,1.238870755937714208e+01, 0.0134
