JD,Magnitude
2.460343419699074235e+06,1.129986428561204548e+01
2.460343352094907314e+06,1.129168027507020433e+01
2.460343369745370466e+06,1.128497395633199574e+01
2.460343343275462743e+06,1.136459646085512176e+01
2.460343402048611082e+06,1.144950224980090425e+01
2.460343338865740690e+06,1.134442752073016436e+01
2.460343378576389048e+06,1.046083725187397917e+01
2.460343321215278003e+06,1.133072834724112710e+01
2.460343334444444627e+06,1.136911025215158766e+01
2.460343382986111101e+06,1.042867767032358017e+01
2.460343415277777705e+06,1.138175616016177472e+01
2.460343397638889030e+06,1.163994836122025767e+01
2.460343330023148097e+06,1.139202120896369941e+01
2.460343365324073937e+06,1.129944335864844618e+01
2.460343374155092519e+06,1.044732989324399597e+01
2.460343406458333135e+06,1.179984542672869452e+01
2.460343360914351884e+06,1.130808867551815311e+01
2.460343325625000056e+06,1.135391313849213546e+01
2.460343356504629832e+06,1.130358222477053332e+01
2.460343393217592500e+06,1.165497543455443008e+01
2.460343347685185261e+06,1.131474381180244393e+01
2.460343388796296436e+06,1.178350250818525957e+01
2.460343410868055653e+06,1.162573794559544282e+01
