JD,Magnitude
2.460343336655092426e+06,1.139345570878563407e+01
2.460343327824073844e+06,1.147529317505541613e+01
2.460343349895833526e+06,1.145863985910075478e+01
2.460343380787036847e+06,1.081087142029277004e+01
2.460343345486111008e+06,1.146790536072152022e+01
2.460343413078703918e+06,1.153637108086344298e+01
2.460343417488425970e+06,1.084330081163586357e+01
2.460343376354166772e+06,1.085825307198588341e+01
2.460343385185185354e+06,1.079568914835144788e+01
2.460343430856481660e+06,1.147787334170393514e+01
2.460343444097222295e+06,1.146415823192674210e+01
2.460343371944444254e+06,1.076102142880020551e+01
2.460343439687499776e+06,1.149770930898926125e+01
2.460343323414351791e+06,1.147577295012761489e+01
2.460343448518518358e+06,1.149587862740228594e+01
2.460343363125000149e+06,1.144214273595179954e+01
2.460343332233796362e+06,1.145147203152240500e+01
2.460343358703703620e+06,1.145325699022134991e+01
2.460343341064814944e+06,1.147709501713879021e+01
2.460343399837962817e+06,1.153575413069232880e+01
2.460343395416666754e+06,1.149323763481983818e+01
2.460343391006944235e+06,1.162646671031895806e+01
2.460343435277777724e+06,1.145782759036519138e+01
2.460343367534722202e+06,1.081465618055052857e+01
2.460343404247685336e+06,1.145839030079791243e+01
2.460343421909722034e+06,1.076762745282485412e+01
2.460343354305555578e+06,1.083670698990972348e+01
2.460343408657407388e+06,1.159019075126839482e+01
