JD,Magnitude
2.460333558530092705e+06,8.612713074954626791e+00
2.460333436747685075e+06,8.274124337634436444e+00
2.460333351736111101e+06,8.621856412639242961e+00
2.460333406504629645e+06,8.412498075020193866e+00
2.460333516018518712e+06,8.688967379179075579e+00
2.460333540150463115e+06,8.902465389653725580e+00
2.460333552407407202e+06,8.706454636937090541e+00
2.460333522152777761e+06,8.787593978401147865e+00
2.460333467372685205e+06,8.290805910335450335e+00
2.460333570798611268e+06,8.405883292680055519e+00
2.460333528275462799e+06,8.873023348980442648e+00
2.460333412627314683e+06,8.340476104397192003e+00
2.460333394236111082e+06,8.533640141589824424e+00
2.460333546284722164e+06,8.800451313750190963e+00
2.460333564664351754e+06,8.487485033596922079e+00
2.460333534016203601e+06,8.895153174348411795e+00
2.460333357858796138e+06,8.801516738137474150e+00
2.460333509895833209e+06,8.543092222179879514e+00
2.460333431018518750e+06,8.277572669405738992e+00
2.460333479641203769e+06,8.335388299607327411e+00
2.460333363993055653e+06,8.818957916753973336e+00
2.460333576909722295e+06,8.383355628344936861e+00
2.460333442870370578e+06,8.263501049537513410e+00
2.460333388101852033e+06,8.614805131891463574e+00
2.460333400370370597e+06,8.409602883120220085e+00
2.460333372175925877e+06,8.642821918489079991e+00
2.460333463310185354e+06,8.024774601181128730e+00
2.460333554456018377e+06,8.412607417141691357e+00
2.460333408553240821e+06,8.135758860915242252e+00
2.460333560590277892e+06,8.341418238067038970e+00
2.460333505821759347e+06,8.339755081072070197e+00
2.460333359907407314e+06,8.556340801461942647e+00
2.460333438796296250e+06,7.996191305255153203e+00
2.460333511944444384e+06,8.516351995998336477e+00
2.460333444930555765e+06,8.057979986132140837e+00
2.460333493553240784e+06,8.147478115723092884e+00
2.460333542199074291e+06,8.660452348144280776e+00
2.460333457175925840e+06,8.108165983430346557e+00
2.460333390162037220e+06,8.345849638944823567e+00
2.460333499687499832e+06,8.207570861069081403e+00
2.460333548333333340e+06,8.555491779118895579e+00
2.460333420810185373e+06,8.082495071006441378e+00
2.460333353784722276e+06,8.453905154781196529e+00
2.460333366041666828e+06,8.610921404941015211e+00
2.460333469432870392e+06,8.098961869199563068e+00
2.460333536064814776e+06,8.681257162361074364e+00
2.460333475567129441e+06,8.084854616484125955e+00
2.460333451053240802e+06,7.966024893964702258e+00
2.460333335393518675e+06,8.204825106871354023e+00
2.460333481296296231e+06,8.114571160133273509e+00
2.460333524201388936e+06,8.616902490921551916e+00
2.460333572847222444e+06,8.223142895812120656e+00
2.460333426944444422e+06,8.091045373588196199e+00
2.460333566712962929e+06,8.346870819163330069e+00
2.460333432673611213e+06,8.032455205847490731e+00
2.460333384027777705e+06,8.461899324097464259e+00
2.460333402430555783e+06,8.182643096465501031e+00
2.460333396296296269e+06,8.311513000314084465e+00
2.460333487430555746e+06,8.109784209604935512e+00
2.460333529942129739e+06,8.675923872315729923e+00
2.460333518078703899e+06,8.502733724777915114e+00
