JD,Magnitude
2.460333640231481288e+06,7.287042755101973412e+00
2.460333424884259235e+06,7.415401580718768315e+00
2.460333558530092705e+06,7.710954657516978727e+00
2.460333473506944254e+06,7.399583303412443414e+00
2.460333646365740802e+06,7.348316557276000083e+00
2.460333707291666884e+06,7.937106453114437521e+00
2.460333436747685075e+06,7.376054291842358168e+00
2.460333597696759272e+06,7.392875009472943404e+00
2.460333351736111101e+06,7.727958086096678336e+00
2.460333677013888955e+06,7.592729630623459514e+00
2.460333591585648246e+06,7.411413500101978080e+00
2.460333455127314664e+06,7.342779001139715156e+00
2.460333682766203769e+06,7.698517547249197790e+00
2.460333370115740690e+06,7.913781107948965499e+00
2.460333634108796250e+06,7.322816383535053042e+00
2.460333461250000168e+06,7.318608495427487703e+00
2.460333345590277575e+06,7.658473397068036093e+00
2.460333406504629645e+06,7.503854930537616319e+00
2.460333516018518712e+06,7.782519991909495616e+00
2.460333552407407202e+06,7.806747506183564056e+00
2.460333376250000205e+06,7.965465099615679279e+00
2.460333522152777761e+06,7.875239391498038977e+00
2.460333467372685205e+06,7.401719880118054817e+00
2.460333570798611268e+06,7.502708036210488984e+00
2.460333713414351922e+06,7.819537901056594187e+00
2.460333652499999851e+06,7.395578807981214808e+00
2.460333616087962873e+06,7.338190616953800927e+00
2.460333528275462799e+06,7.975002607361371787e+00
2.460333622233796399e+06,7.308275083805371608e+00
2.460333609953703824e+06,7.344957634671125390e+00
2.460333664756944403e+06,7.516709331065917432e+00
2.460333382384259254e+06,7.820813921132542035e+00
2.460333412627314683e+06,7.431764353575379900e+00
2.460333497638888657e+06,7.542709445060574502e+00
2.460333688900462817e+06,7.786086645892858371e+00
2.460333394236111082e+06,7.637195486643279629e+00
2.460333546284722164e+06,7.899649151308633321e+00
2.460333701157407369e+06,7.931959379859887527e+00
2.460333449004629627e+06,7.379868917296960262e+00
2.460333564664351754e+06,7.588807088239914123e+00
2.460333418761574198e+06,7.463349290973108729e+00
2.460333534016203601e+06,7.990089150552277530e+00
2.460333731423611287e+06,7.585324989560287001e+00
2.460333585451388732e+06,7.445500240710352102e+00
2.460333357858796138e+06,7.888250897615366242e+00
2.460333670879629441e+06,7.573919706791095052e+00
2.460333695023148321e+06,7.869795321786531517e+00
2.460333603831018321e+06,7.392038748105022705e+00
2.460333509895833209e+06,7.633559254614358025e+00
2.460333725682870485e+06,7.655682506432785139e+00
2.460333431018518750e+06,7.371001288456455747e+00
2.460333503761574160e+06,7.580497219835185874e+00
2.460333719548610970e+06,7.756629670700847079e+00
2.460333479641203769e+06,7.435723546145684537e+00
2.460333363993055653e+06,7.904446826205567156e+00
2.460333628356481437e+06,7.329261895388968995e+00
2.460333576909722295e+06,7.474854126880664751e+00
2.460333658634259365e+06,7.461197553258082316e+00
2.460333339479166549e+06,1.705527407140182916e+00
2.460333442870370578e+06,7.357761910287537788e+00
2.460333485381944571e+06,7.483567660048983328e+00
2.460333388101852033e+06,7.718266514317753568e+00
2.460333400370370597e+06,7.515750808347598344e+00
2.460333491504629608e+06,7.482775412665304771e+00
