ID, RA, DE, Gmag, Gmagerr, Rmag, Rmagerr, Imag, Imagerr
1,   145.72427100,	56.00925000,	15.074,	0.048,	14.782,	0.083,	14.576,	0.135
2,	145.75991600,	56.06026900,	14.673,	0.046,	14.115,	0.096,	13.888,	0.111
3,	145.76123900,	55.96071700,	12.553,	0.048,	12.212,	0.076,	12.085,	0.077
4,	145.79413800,	55.92962300,	15.204,	0.074,	14.584,	0.070,	14.348,	0.091
5,	145.79543700,	56.07206900,	14.760,	0.040,	14.231,	0.085,	14.030,	0.101
6,	145.81387200,	56.01991500,	11.733,	0.041,	11.096,	0.083,	10.832,	0.069
9,	145.83805300,	55.95740700,	15.785,	0.096,	15.406,	0.084,	15.309,	0.000
10,	145.89979600,	56.05160500,	14.606,	0.050,	14.133,	0.081,	13.940,	0.080
11,	145.93965700,	55.95241500, 	 8.132,	0.000,	7.888,	0.000,  00.000, 0.000
15,	146.01121500,	55.99977300,	13.495,	0.046,	13.212,	0.071,	13.108,	0.078
16,	146.01751800,	55.92272300,	11.926,	0.048,	11.415,	0.076,	11.252,	0.067
17,	146.03688400,	56.01075900,	11.265,	0.037,	10.781,	0.079,	10.601,	0.071
