JD,Magnitude
2.460342355231481604e+06,1.217213390584915444e+01
2.460342426157407463e+06,1.204170850461881770e+01
2.460342400497685187e+06,1.238930675478948018e+01
2.460342362696759403e+06,1.227525616843458600e+01
2.460342349166666623e+06,1.214524971568901179e+01
2.460342406562500168e+06,1.230192457522984029e+01
2.460342352199073881e+06,1.216648773656964622e+01
2.460342359664351679e+06,1.226100477135947919e+01
2.460342391400462948e+06,1.241488872353651729e+01
2.460342397465277929e+06,1.236488488569604804e+01
2.460342386979166884e+06,1.240591293146493967e+01
2.460342371793981642e+06,1.232243785129206515e+01
2.460342337037037127e+06,1.200674567426860406e+01
2.460342432233796455e+06,1.210881603486121172e+01
2.460342418703703675e+06,1.205234033105053726e+01
2.460342374837962911e+06,1.232352153595303967e+01
2.460342412627314683e+06,1.226299483232314635e+01
2.460342429189814720e+06,1.204164766950012222e+01
2.460342415671296418e+06,1.214159550394485798e+01
2.460342346134259365e+06,1.210211761225790461e+01
2.460342380902777892e+06,1.229096559320170812e+01
2.460342330960648134e+06,1.213445424313416154e+01
2.460342368761573918e+06,1.230429640214756759e+01
2.460342383935185149e+06,1.231877716767358955e+01
2.460342409594907425e+06,1.227454139160075286e+01
2.460342340069444384e+06,1.205240130137165266e+01
2.460342377870370168e+06,1.226916738357901515e+01
2.460342394421296194e+06,1.234258573560935801e+01
2.460342327928240877e+06,1.216626484756194948e+01
2.460342423125000205e+06,1.200559489413831038e+01
2.460342365729166660e+06,1.227228310506921538e+01
2.460342343101851642e+06,1.214951469189065136e+01
2.460342334004629403e+06,1.207689368683704600e+01
2.460342403541666456e+06,1.238082883407513535e+01
