JD,Magnitude
2.460343433067129459e+06,1.100926024060803954e+01
2.460343419699074235e+06,1.107264828344516694e+01
2.460343352094907314e+06,1.124903491941888767e+01
2.460343369745370466e+06,1.121997349286476187e+01
2.460343343275462743e+06,1.125145420873517565e+01
2.460343402048611082e+06,1.125450579479814195e+01
2.460343338865740690e+06,1.122574513432909349e+01
2.460343378576389048e+06,1.031776679569354016e+01
2.460343321215278003e+06,1.113710791553307899e+01
2.460343334444444627e+06,1.122511279848699850e+01
2.460343382986111101e+06,1.029014102934094055e+01
2.460343415277777705e+06,1.112874107462666196e+01
2.460343397638889030e+06,1.147406298086593779e+01
2.460343330023148097e+06,1.124491501553216999e+01
2.460343441898148041e+06,1.104456667130065917e+01
2.460343365324073937e+06,1.124590887985924148e+01
2.460343374155092519e+06,1.035520299617320816e+01
2.460343428645833395e+06,1.105616413069843063e+01
2.460343406458333135e+06,1.159705449360870766e+01
2.460343360914351884e+06,1.127266137999130713e+01
2.460343325625000056e+06,1.117963688623865792e+01
2.460343356504629832e+06,1.126453147944963717e+01
2.460343393217592500e+06,1.150044094055233046e+01
2.460343347685185261e+06,1.125405856336503341e+01
2.460343450729166623e+06,1.136139692853373617e+01
2.460343437476851977e+06,1.103957695812243500e+01
2.460343388796296436e+06,1.159814196387661589e+01
2.460343410868055653e+06,1.140500506152220694e+01
2.460343446307870559e+06,1.108585484143334909e+01
