JD,Magnitude
2.460333372175925877e+06, 8.630775016338272820e+00
2.460333463310185354e+06, 8.026688693323679402e+00
2.460333554456018377e+06, 8.419567922382405811e+00
2.460333642280092463e+06,8.010845480215190051e+00
2.460333408553240821e+06,8.130921537126276633e+00
2.460333560590277892e+06,8.335715981241058614e+00
2.460333505821759347e+06,8.337867059656172586e+00
2.460333587499999907e+06,8.172039977218489071e+00
2.460333359907407314e+06,8.562426363633758086e+00
2.460333438796296250e+06,7.992051256990636787e+00
2.460333511944444384e+06,8.514933222307057292e+00
2.460333599756944459e+06,7.998580377973309119e+00
2.460333444930555765e+06,8.054566167568681934e+00
2.460333493553240784e+06,8.138776073283432666e+00
2.460333542199074291e+06,8.660307460808489566e+00
2.460333593634259421e+06,8.027607945034482384e+00
2.460333457175925840e+06,8.100777962846990476e+00
2.460333390162037220e+06,8.342383989443906245e+00
2.460333341516203713e+06,7.779886468492078322e+00
2.460333414675925858e+06,8.036973868827814727e+00
2.460333612013889011e+06,8.000923586799240539e+00
2.460333499687499832e+06,8.206081678155825898e+00
2.460333548333333340e+06,8.555951709045521270e+00
2.460333624282407574e+06,8.079849981743496556e+00
2.460333420810185373e+06,8.086640484333591061e+00
2.460333353784722276e+06,8.448008977227379646e+00
2.460333366041666828e+06,8.613913987282071361e+00
2.460333469432870392e+06,8.098218920753666339e+00
2.460333536064814776e+06,8.682659393756747335e+00
2.460333475567129441e+06,8.087490729949269763e+00
2.460333451053240802e+06,7.963762854412335557e+00
2.460333335393518675e+06,8.204022492310162562e+00
2.460333605879629496e+06,8.016539197770619296e+00
2.460333636157407425e+06,8.012193699577711214e+00
2.460333481296296231e+06,8.108301725720462372e+00
2.460333630034722388e+06,8.055708511482956524e+00
2.460333524201388936e+06,8.616582624342267849e+00
2.460333572847222444e+06,8.223071482596768789e+00
2.460333426944444422e+06,8.095071335872980001e+00
2.460333566712962929e+06,8.348753180576391486e+00
2.460333432673611213e+06,8.026359378978721537e+00
2.460333384027777705e+06,8.460624880030279016e+00
2.460333581377314869e+06,8.078342375080589832e+00
2.460333347650462762e+06,8.352021435899427360e+00
2.460333402430555783e+06,8.182207405182985838e+00
2.460333396296296269e+06,8.309477060110346258e+00
2.460333487430555746e+06,8.113724181358023202e+00
2.460333618148148060e+06,8.110175137193905925e+00
2.460333529942129739e+06,8.673463712785876467e+00
2.460333518078703899e+06,8.497883349856428126e+00
2.460333378298610914e+06,8.551061931004328542e+00
